0
//===============================================================
// ENGLISH
//===============================================================
// Index   Message
//===============================================================
   290     "Next Status:"
   291     "ITEM FUSION"
   292     "Item will be reset if it doesn't succeed."
   293     "Level: %d / Zen: %d"
   294     "Special Reward item"
   295     "Reset your skills"
   296     "Reset your quests"
   297     "Point(s) per %s:"
   298     "%d point(s)"
   299     "(Item Combination Rate: %d%%)"
   300     "Wheel N°%d"
   301     "Spin Requirement:"
   302     "Spin to Win"
   303     "(You Have %d free spin(s))"
   304     "Get your prize!"
   305     "You don't have the necessary requirements!"
   306     "You need to have inventory space!"
   307     "Event Time"
   308     "Invasion Time"
   309     "Arena Time"
   310     "Go Back"
   311     "Auction Time"
   312     "Save Account/Password"
   313     "This account already exists."
   314     "Update account information"
   315     "E-mail:"
   316     "Personal ID:"
   317     "Invalid email!"
   318     "Personal code needs 7 numeric digits!"
   319     "Value to use: %d WC, %d WP, %d GP!" 
   320     "Obtained %I64u Exp"
   321     "Exp: %I64u/%I64u"
   322     "LevelUp Type"
   323     "Normal Level: %d/1000"
   324     "Master Level: %d/330"
   325     "Automatic"
   326     "Normal Level"
   327     "Master Level"
   328     "Disabled"
   329     "You are not at the master level."
   330     "Map usage time:"
   331     "Ranking CS"
   332     "Time Ranking"
   333     "Kill Ranking"
   334     "Switch Time"
   335     "Crown Time"
   336     "Slider:"
   337     "Battle Pass"
   338     "Daily Reward"
   339     "%d stars."
   340     "Star Count: %d / Star Used: %d"
   341     "Prize achieved"
   342     "Get it by %d star(s)"
   343     "Special Skin"
   344     "Special Reward"
   345     "Unable to receive award"
   346     "Not enough stars."
   347     "Get it"
   348     "Order your daily reward?"
   349     "Final Reward"
   350     "Special prize if you reach every day."
   351     "You do not have the necessary requirements."
   352     "You need to achieve all previous prizes."
   353     "You have received takeover verification"
   354     "Tax:"
   355     "Exclusive Glow"
   356     "Skin Color"
   357     "Glow Color"
   358     "Price to use: 10 WCoinC"
   359     "Bright"
   360     "Aplly"
   361     "Remove"
   362     "Would you like to reset this glow?"
   363     "Requirement(s):"
   364     "Battle Pass Star(s):"
   365     "When you changes the resolution Wide"
   366     "to non wide needs to restart the game"
   367     "Damage:"
   368     "Defense:"
   369     "Elemental damage: %d-%d"
   370     "Elemental defense: %d"
   371     "Increase elemental damage: %d"
   372     "Increase elemental defense: %d"
   373     "Increase elemental attack rate: %d"
   374     "Increase elemental defense rate: %d"
   375     "Double elemental damage rate: %d%%"
   376     "Ignore elemental defense rate:  %d%%"
   377     "Advantage(s):"
   378     "Experience rate:"
   379     "Excellent drop rate:"
   380     "Item drop rate:"
   381     "Set item rate:"
   382     "Money amount rate:"
   383     "Guid Reign: %s"
   384     "The reign since %s!"
   385     "Conquered %d times."
   386     "Socket Item drop:"
   387     "Swords"
   388     "Axes"
   389     "Scepters"
   390     "Spears"
   391     "Bows"
   392     "Staffs"
   393     "Shields"
   394     "Helms"
   395     "Armors"
   396     "Pants"
   397     "Gloves"
   398     "Boots"
   399     "Others1"
   400     "Others2"
   401     "Others3"
   402     "Black Smith shop"
   403     "Excellent Option %d:"
   404     "Unlimited"
   405     "Item Price:"
   406     "Option(s) Value:"
   407     "Item Time:"
   408     "Total Value:"
   409     "Item Level:"
   410     "Item Skill:"
   411     "Lucky Option:"
   412     "Item Option:"
   413     "Zen After Hunting Monsters"
   414     "Set Option:"
   415     "Socket Option:"
   416     "Item out of stock."
   417     "Error"
   418     "Not enough coins to buy!"
   419     "Max %d options excellent(s)!"
   420     "Item 380:"
   421     "Discount:"
   422     "Reset"
   423     "Gift Code"
   424     "Code:"
   425     "Paste code"
   426     "Invalid code!"
   427     "Claim"
   428     "Gift Received"
   429     "/battlepass"
   430     "/dailyreward"
   431     "View Details"
   432     "Class"
   433     "Premium"
   434     "Guild Points"
   435     "Ware Number"
   436     "Buy extra vault"
   437     "Number:"
   438     "Invalid Number!"
   439     "Market Place"
   440     "Market Coin"
   441     "Sell"
   442     "Item Market"
   443     "My Item market"
   444     "Sponsored"
   445     "Right click in inventory to add into Market Place"
   446     "Sold"
   447     "Get it back"
   448     "Exchange 1 %s for:"
   449     "Buy"
   450     "Add item to market place?"
   451     "Get the item back?"
   452     "%s %d Market Coin for %dx %s?"
   453     "Amount:"
   454     "Price to add:"
   455     "Put on sale"
   456     "Online users"
   457     "Make item"
   458     "Move GM"
   459     "Move All"
   460     "Move Guild"
   461     "Hide GM"
   462     "Reward"
   463     "Reward All"
   464     "Reload"
   465     "Event(s)"
   466     "GM PANEL"
   467     "Merge these items?"
   468     "HUD Number Format:"
   469     "Expired"
   470     "Achievements"
   471     "Win %d AP"
   472     "Achievements Point(s)"
   473     "%d point(s) by level"
   474     "Learn it(%d AP)!"
   475     "My Bonus"
   476     "General"
   477     "Monster"
   478     "Items"
   483     "Not enough Achievements Point"
   484     "You did not reach the required points"   
   485     "Max Collect: %d/%d"  
   486     "Item use: "  
   487     "Drop item: " 
   488     "Pick item: " 
   489     "LIMIT REACHED"
   490     "Total: %d Point(s):"
   491     "Hunting Log"
   492     "Hunting Time:"
   493     "Statistics per %d second(s)"
   494     "Experience:"
   495     "Money Pickup:"
   496     "Total LevelUp:"
   497     "Mob Kill ratio:"
   498     "Normal DMG:"
   499     "Elemental DMG:"
   500     "Best values"
   501     "Total Reset(s):"
   502     "Total Experience:"
   503     "Next Level time:"
   504     "Do you really want to use it?"
   505     "Move Window"
   506     "AUTO MOVE"
   507     "Not allowed on this map!"
   508     "Moving"
   509     "Min Level"
   510     "Max Level"
   511     "Min Reset"
   512     "Max Reset"
   513     "Min MReset"
   514     "Max MReset"
   515     "Pk Can't Move"
   516     "Rebuild"
   517     "Do you want to Rebuild the bonus points achievements?"
   518     "Inventory Visual"
   519     "Right click add item to Inventory visual"
   520     "Auctions"
   521     "Accomplished"
   522     "My prizes"
   523     "Auction Nº %d"
   524     "Auction System"
   525     "Winner:"
   526     "Starts in:"
   527     "No offers"
   528     "Get prize"
   529     "Pay auction?"
   530     "Cloak"
   531     "Object"
   532     "Blur"
   533     "Shadow"
   534     "Pet"
   535     "Leaves"
   536     "Effect Volume Level"
   537     "Information"
   538     "Members"
   539     "Guild Shop"
   540     "Guild Point"
   541     "Guild Point(s)"
   542     "Guild Panel"
   543     "Memmber"
   544     "Online"
   545     "Offline"
   546     "Buy %s by %d Guild Point(s)?"
   547     "Change status or remove %s"
   548     "None or Offline"
   549     "Empty"
   550     "Code already redeemed!"
end

1
//===============================================================
// PORTUGUESE
//===============================================================
// Index   Message
//===============================================================
   0       "Nível: %d | Resets: %d"
   1       "Reconectando..."
   2       "Entrando..."
   3       "Listando personagens..."
   4       "Entrando no personagem..."
   5       "Compra de VIP"
   6       "Bem vindo ao shopping vip, %s!"
   7       "Assine um plano vip e ganhe vantagens!"
   8       "Não funciona com master exp e party!"
   9       "Compra %s"
   10      "Price:"
   11      "WC: %d"
   12      "WP: %d"
   13      "GP: %d"
   14      "Cuidado! Ao clicar no botão o vip será comprado!"
   15      "Blood Castle:"
   16      "Devil Square"
   17      "Chaos Castle"
   18      "Illusion Temple:"
   19      "Sorteio Online:"
   20      "Custom Quiz:"
   21      "Custom Bonus:"
   22      "Custom Arena:"
   23      "Custom Drop:"
   24      "Rei do Mu:"
   25      "Eventos"
   26      "Comprar VIP"
   27      "Ranking"
   28      "Comandos"
   29      "Jewel Bank"
   33      "Luck Wheel"
   34      "LevelUp Type"
   35      "Item Smith Shop"
   36      "Achievements"
   43      "Flag System"
   44      "Opções"
   45      "Valor de compra: %s Zen"
   46      "Valor de compra: %s WC"
   47      "Valor de compra: %s WP"
   48      "Valor de compra: %s GP"
   49      "Valor de venda: %s Zen"
   50      "Finances:"
   51      "WC:"
   52      "WP:"
   53      "GP:"
   54      "Bem Vindo!"
   55      "Valor de venda: %s WC"
   56      "Valor de venda: %s WP"
   57      "Valor de venda: %s GP"
   58      "WC"
   59      "WP"
   60      "GP"
   61      "Valor de venda: %s Jewel of Bless"
   62      "Valor de venda: %s Jewel of Soul"
   63      "Valor de venda: %s Jewel of Chaos"
   64      "Valor: %s"
   65      "TvT Event:"
   66      "Confirmar"
   67      "Deseja realmente comprar esse item?"
   68      "MResets:"
   69      "To deposit use ctrl + right click!"
   70      "Local:"
   71      "[SELL] %s"
   72      "Trade Window"
   73      "Items a venda:"
   74      "Missões"
   75      "Missão primária:"
   76      "Missão secundária:"
   77      "Requisitos"
   78      "Prêmios"
   79      "Nenhuma missão!"
   80      "Parabéns, todas missões foram concluidas!"
   81      "Free Account"                                                                                       
   82      "Bronze Account"                                                                                     
   83      "Silver Account"                                                                                     
   84      "Gold Account"
   85      "Obter" 
   86      "Matar"
   87      "Solicitar prêmio"
   88      "Volte para o Npc da quest"
   89      "Missão concluída!"
   90      "Continuar"
   91      "Kill Count:"
   92      "Buff Especial"
   93      "LevelUp Points:"
   94      "Expericencia:"
   95      "Leilão"
   96      "Items do leilão:"
   97      "Oferta atual:"
   98      "Ofertar %d WC"
   99      "Ofertar %d WP"
   100     "Ofertar %d GP"
   101     "Termina em:"
   102     "Oferta Minima:"
   103     "Você venceu o leilão!"
   104     "Receber Prêmio"
   105     "Fechar o jogo?"
   106     "Options Menu"
   107     "Resolução:"
   108     "Tamanho da fonte:"
   109     "Health Bar:"
   110     "Player:"
   111     "Monster:"
   112     "Custom Interface:"
   113     "Effect - Antilag:"
   114     "Static:"
   115     "Dynamic:"
   116     "Skill:"
   117     "Glow:"
   118     "Wings:"
   119     "Volume:"
   120     "AutoAttack:"
   121     "WhisperBeep:"
   122     "Selecione o idioma:"
   123     "ENG"
   124     "POR"
   125     "SPN"
   126     "ON"
   127     "OFF"
   128     "[Ataque da tecla Ctrl ativado]"
   129     "[Ataque da tecla Ctrl desativado]"
   130     "Reset: %d"
   131     "Online"
   132     "%d dia(s)+"
   133     "Carregando %s"
   134     "Eventos:"
   135     "Tempo:"
   136     "Jewel of GemStone"
   137     "STATUS AVANÇADO"
   138     "Nível (ML):"
   139     "Reinicializações:"
   140     "Reflexão Total de Dano:"
   141     "Taxa de Reflexão Total de Dano:"
   142     "Taxa de Dano Crítico:"
   143     "Dano Crítico (PvM):"
   144     "Dano Crítico (PvP):"
   145     "Taxa de Dano Excelente:"
   146     "Dano Excelente (PvM):"
   147     "Dano Excelente (PvP):"
   148     "Taxa de Dano Duplo:"
   149     "Taxa de Dano Triplo:"
   150     "Taxa de Redução de Dano:"
   151     "Taxa de Redução de Dano de Habilidade de Escudo:"
   152     "Taxa de Redução de Dano de SD:"
   153     "Taxa de Redução de Dano de SD (Alvo):"
   154     "Ignorar Taxa de Defesa:"
   155     "Taxa de Ignorar Dano Duplo:"
   156     "Aumentar Dano PvP:"
   157     "Aumentar Defesa PvP:"
   158     "Taxa de Resistência a Dano Duplo:"
   159     "Taxa de Resistência a Ignorar Defesa:"
   160     "Taxa de Resistência a Ignorar Dano Duplo:"
   161     "Taxa de Resistência a Dano Crítico:"
   162     "Taxa de Resistência a Dano Excelente:"
   163     "Taxa de Resistência a Atordoamento:"
   164     "Taxa de Aumento/Resistência a Gelo"
   165     "Taxa de Aumento/Resistência a Veneno"
   166     "Taxa de Aumento/Resistência a Raio"
   167     "Taxa de Aumento/Resistência a Fogo"
   168     "Taxa de Aumento/Resistência a Terra"
   169     "Taxa de Aumento/Resistência a Vento"
   170     "Water Increase / Resist Rate"
   171     "Full HP Restore Rate (Def,Att):"
   172     "Full MP Restore Rate (Def,Att):"
   173     "Full SD Restore Rate (Def,Att):"
   174     "RTT: %d ms"
   175     "PING: %d ms"
   176     "FPS: %d"
   177     "Character"
   178     "Zen:"
   179     "RankUser:"
   180     "Rank:"
   181     "Lvl:"
   182     "Str:"
   183     "Agi:"
   184     "Vit:"
   185     "Ene:"
   186     "Com:"
   187     "Kills:"
   188     "Deaths:"
   189     "Character Status:"
   190     "INFO"
   191     "Defense:"
   192     "MinDmg:"
   193     "MaxDmg:"
   194     "MaxHP:"
   195     "Open Off-Store"
   196     "OFF STORE"
   197     "Bless"
   198     "Soul"
   199     "Chaos"
   200     "Server:"
   201     "Local:"
   202     "Plan"
   203     "Exp"
   204     "Drop"
   205     "OFF HELPER"
   206     "Commands"
   207     "Empty Character Slot"
   208     "Especial Menu"
   209     "Open Quest Window"
   210     "Life: %u/%u"
   211     "Mana: %u/%u"
   212     "%dº"
   213     "Flag System"
   214     "Flag disponível"
   215     "Comprar Flag"
   216     "Usar essa Flag"
   217     "Tirar Flag"
   218     "Increase Damage %d%%"
   219     "Decrease Damage %d%%"
   220     "Triple damage rate %d%%"
   221     "Resist Double Damage +%d%%"
   222     "Resist Ignore Defense +%d%%"
   223     "Resist Ignore SD +%d%%"
   224     "Resist Critical Damage +%d%%"
   225     "Resist Excellent Damage +%d%%"
   226     "Player"
   227     "Count"
   228     "Join"
   229     "%d / 5"
   230     "Need to Party:"
   231     "PASSWORD IS REQUIRED"
   232     "Only Guild"
   233     "Only Alliance"
   234     "Only Guild"
   235     "Only Alliance"
   236     "Only One Class"
   237     "Active System"
   238     "Max Level"
   239     "Level: %d"
   240     "Status:"
   241     "Zen"
   242     "JoB"
   243     "JoS"
   244     "JoC"
   245     "WCoinC"
   246     "WCoinP"
   247     "GoblinP"
   248     "Comprar por %d %s?"
   249     "Gremory Case"
   250     "Max 50 itens - se o número de itens exceder a capacidade"
   251     "máxima do Gremory Case, o item será excluído em ordem"
   252     "cronológica a partir do primeiro item armazenado."
   253     "Iten(s) pessoais"
   254     "Iten(s) conta"
   255     "Cancelar"
   256     "Usar"
   257     "Comprar"
   258     "Valor venda"
   259     "Reflect Damage +%d%%"
   260     "Add status points"
   261     "Invasões Ativas"
   262     "Skin System"
   263     "Skin disponível"
   264     "Comprar Skin"
   265     "Usar essa Skin"
   266     "Remover Skin"
   267     "<FONT color='#FFFF00'>Zona ocupada pela Guild %s</FONT>"
   268     "Baú %d/%d"
   269     "Special System"
   270     "Sacar %d"
   271     "Sacar Max"
   272     "Depositar Tudo"
   273     "Você não tem essa quantidade!"
   274     "Shop %d/%d"
   275     "Clique para dividir."
   276     "%d un"
   277     "%d pack"
   278     "/petpickclear"
   279     "/petpick"
   280     "Todas as joias adicionadas na lista!"
   281     "Adicionado %s na lista!"
   282     "Esse item já está na lista!"
   283     "Item não encontrado!"
   284     "Lista limpa com sucesso!"
   285     "Reset"
   286     "Master Reset"
   287     "Gostaria de resetar seu personagem?"
   288     "Acumulativo"
   289     "Pontuativo"
   290     "Próximo Status:"
   291     "FUSÃO DE ITEMS"
   292     "Em caso de erro o item será resetado"
   293     "Level: %d / Zen: %d"
   294     "Special Reward item"
   295     "Reset your skills"
   296     "Reset your quests"
   297     "Ponto(s) por %s:"
   298     "%d ponto(s)"
   299     "(Item Combination Rate: %d%%)"
   300     "Roda N°%d"
   301     "Requisito para girar:"
   302     "Girar"
   303     "(Você tem %d rodadas grátis)"
   304     "Pegar seu premio!"
   305     "Você não tem os requisitos necessários!"
   306     "Você precisa ter espaço no inventario!"
   307     "Horário dos eventos"
   308     "Horário das invasões"
   309     "Horário das Arenas"
   310     "Voltar"
   311     "Horários dos leilões"
   312     "Save Account/Password"
   313     "Essa conta já existe."
   314     "Atualize sua conta"
   315     "E-mail:"
   316     "Personal ID:"
   317     "E-mail inválido!"
   318     "O Personal ID precisa ter 7 digitos!"
   319     "Valor para usar: %d WC, %d WP, %d GP!" 
   320     "Obtained %I64u Exp"
   321     "Exp: %I64u/%I64u"
   322     "LevelUp Type"
   323     "Normal Level: %d/1000"
   324     "Master Level: %d/330"
   325     "Automatic"
   326     "Normal Level"
   327     "Master Level"
   328     "Disabled"
   329     "Você não está no master level."
   330     "Tempo de uso do mapa:"
   331     "Ranking CS"
   332     "Ranking tempo"
   333     "Ranking kill"
   334     "Switch Time"
   335     "Crown Time"
   336     "Slider:"
   337     "Battle Pass"
   338     "Prêmio diário"
   339     "%d stars."
   340     "Star Count: %d / Star Used: %d"
   341     "Prize achieved"
   342     "Receber usando %d star(s)"
   343     "Special Skin"
   344     "Special Reward"
   345     "Não foi possível receber a premiação"
   346     "Estrelas insuficientes"
   347     "Pegar Premio"
   348     "Requisitar seu prêmio?"
   349     "Prêmio Final"
   350     "Prêmio especial se você conquistar todos os dias."
   351     "Você não tem os requisitos necessários."
   352     "Você precisa conquistar todos os premios anteriores."
   353     "You have received takeover verification"
   354     "Tax:"
   355     "Exclusive Glow"
   356     "Skin Color"
   357     "Glow Color"
   358     "Price to use: 10 WCoinC"
   359     "Bright"
   360     "Aplly"
   361     "Remove"
   362     "Would you like to reset this glow?"
   363     "Requisito(s):"
   364     "Battle Pass Star(s):"
   365     "Quando você troca de uma resolução wide para"
   366     "não wide você precisa reiniciar o jogo."
   367     "Damage:"
   368     "Defense:"
   369     "Elemental damage: %d-%d"
   370     "Elemental defense: %d"
   371     "Increase elemental damage: %d"
   372     "Increase elemental defense: %d"
   373     "Increase elemental attack rate: %d"
   374     "Increase elemental defense rate: %d"
   375     "Double elemental damage rate: %d%%"
   376     "Ignore elemental defense rate:  %d%%"
   377     "Advantage(s):"
   378     "Experience rate:"
   379     "Excellent drop rate:"
   380     "Item drop rate:"
   381     "Set item rate:"
   382     "Money amount rate:"
   383     "Guid Reign: %s"
   384     "The reign since %s!"
   385     "Conquered %d times."
   386     "Socket Item drop:"
   387     "Swords"
   388     "Axes"
   389     "Scepters"
   390     "Spears"
   391     "Bows"
   392     "Staffs"
   393     "Shields"
   394     "Helms"
   395     "Armors"
   396     "Pants"
   397     "Gloves"
   398     "Boots"
   399     "Others1"
   400     "Others2"
   401     "Others3"
   402     "Black Smith shop"
   403     "Excellent Option %d:"
   404     "Unlimited"
   405     "Item Price:"
   406     "Option(s) Value:"
   407     "Item Time:"
   408     "Total Value:"
   409     "Item Level:"
   410     "Item Skill:"
   411     "Lucky Option:"
   412     "Item Option:"
   413     "Zen After Hunting Monsters"
   414     "Set Option:"
   415     "Socket Option:"
   416     "Item out of stock."
   417     "Error"
   418     "Not enough coins to buy!"
   419     "Max %d options excellent(s)!"
   420     "Item 380:"
   421     "Discount:"
   422     "Reset"
   423     "Gift Code"
   424     "Code:"
   425     "Colar código"
   426     "Código inválido!"
   427     "Resgatar"
   428     "Presente Recebido"
   429     "/battlepass"
   430     "/dailyreward"
   431     "Ver Detalhes"
   432     "Classe"
   433     "Premium"
   434     "Guild Points"
   435     "Numero bau"
   436     "Comprar bau extra"
   437     "Number:"
   438     "Invalid Number!"
   439     "Market Place"
   440     "Market Coin"
   441     "Vender"
   442     "Item Market"
   443     "Meu Item market"
   444     "Patrocinado"
   445     "Click direito no inventario para add no Market Place"
   446     "Vendido"
   447     "Pegar de volta"
   448     "Trocar 1 %s por:"
   449     "Comprar"
   450     "Adicionar item no Market place?"
   451     "Pegar o item de volta?"
   452     "%s %d Market Coin por %dx %s?"
   453     "Quantidade:"
   454     "Preço para adicionar:"
   455     "Colocar a venda"
   456     "Online users"
   457     "Make item"
   458     "Move GM"
   459     "Move All"
   460     "Move Guild"
   461     "Hide GM"
   462     "Reward"
   463     "Reward All"
   464     "Reload"
   465     "Event(s)"
   466     "GM PANEL"
   467     "Fazer a fusão desses items?"
   468     "HUD Number Format:"
   469     "Expired"
   470     "Achievements"
   471     "Win %d AP"
   472     "Achievements Point(s)"
   473     "%d point(s) by level"
   474     "Learn it!(%d AP)"
   475     "My Bonus"
   476     "General"
   477     "Monster"
   478     "Items"
   483     "Not enough Achievements Point"
   484     "You did not reach the required points"   
   485     "Max Collect: %d/%d"  
   486     "Item use: "  
   487     "Drop item: " 
   488     "Pick item: " 
   489     "LIMIT REACHED"
   490     "Total: %d Point(s):"
   491     "Hunting Log"
   492     "Hunting Time:"
   493     "Statistics per %d second(s)"
   494     "Experience:"
   495     "Money Pickup:"
   496     "Total LevelUp:"
   497     "Mob Kill ratio:"
   498     "Normal DMG:"
   499     "Elemental DMG:"
   500     "Best values"
   501     "Total Reset(s):"
   502     "Total Experience:"
   503     "Next Level time:"
   504     "Do you really want to use it?"
   505     "Move Window"
   506     "AUTO MOVE"
   507     "Not allowed on this map!"
   508     "Moving"
   509     "Min Level"
   510     "Max Level"
   511     "Min Reset"
   512     "Max Reset"
   513     "Min MReset"
   514     "Max MReset"
   515     "Pk Can't Move"
   516     "Rebuild"
   517     "Do you want to Rebuild the bonus points achievements?"
   518     "Inventory Visual"
   519     "Right click add item to Inventory visual"
   520     "Leilões"
   521     "Finalizados"
